Period,"GDP At Market Prices 
(At Current Prices)
(₹ Crore)",Consumer Price Index  (2012=100),Index of Industrial Production,Wholesale Price Index (2011-12=100),Consumer Price Index for Agricultural Labourer,Consumer Price Index for Rural Labourer,"Commercial Paper (Amount Outstanding) 
(₹ Crore)",Consumer Price Index for Food and Beverages,Reverse Repo Rate (%),Bank Rate (%),Base Rate (%),Policy Repo Rate (%),"Foreign Exchange Reserves 
(US $ Million)",Crude Oil Prices,"Overall Balance of Payments Net 
(US $ Million)","International Investment Position Net
(US $ Million)","India's External Debt - Gross Total 
 (US $ Million) ","Net Foreign Direct Investment 
(US $ Million)","Direct Investment to India 
(US $ Million)","Foreign Direct Investment By India
 (US $ Million)","Net Portfolio Investment 
(US $ Million)","Total Investment Inflows 
(US $ Million)","Foreign Trade Exports Total 
(US $ Million)","Foreign Trade Imports Total 
(US $ Million)","Foreign Trade Balance Total 
(US $ Million)",Exchange Rate of Indian Rupee vis-à-vis US Dollar (Month End)
Jun-2024,"7,730,979.44",190.2,150.70,154.00,"1,280.00","1,292.00","422,447.45",198.40,3.35,6.75,9.10,6.50,"651,997.26",77.91,"5,225.98","-368,328.86","682,267.63","2,394.67","3,393.84",999.17,"5,448.77","7,843.44","35,162.92","56,685.52","-21,522.60",83.45
Mar-2024,"7,828,147.61",185.8,160.00,151.40,"1,259.00","1,270.00","388,559.20",190.70,3.35,6.75,9.10,6.50,"645,582.59",81.93,"30,753.60","-361,638.94","668,933.76","-1,365.70","2,296.41","3,662.11","7,785.30","6,419.60","41,692.74","57,027.14","-15,334.39",83.37
Dec-2023,"7,567,704.65",185.7,152.30,151.80,"1,257.00","1,267.00","364,181.25",191.20,3.35,6.75,8.95,6.50,"623,200.44",75.71,"5,998.17","-368,193.06","648,744.06",-656.23,"1,311.76","1,968.00","9,555.33","8,899.10","38,391.03","57,151.51","-18,760.48",83.12
Sep-2023,"7,090,220.61",184.1,142.30,151.80,"1,226.00","1,237.00","412,234.35",189.00,3.35,6.75,8.85,6.50,"586,907.63",80.5,"2,518.58","-382,018.77","637,140.65",630.69,"1,919.98","1,289.29","-2,226.19","-1,595.50","34,407.98","54,485.03","-20,077.05",83.06
Jun-2023,"7,049,593.97",181,143.90,148.90,"1,196.00","1,207.00","433,212.15",183.10,3.35,6.75,8.75,6.50,"595,051.38",81.32,"24,431.59","-378,956.37","628,812.25","1,304.80","1,967.14",662.33,"7,649.74","8,954.54","34,324.89","53,512.86","-19,187.97",82.04
Mar-2023,"7,123,164.79",177.2,151.70,151.00,"1,175.00","1,186.00","353,688.25",177.00,3.35,6.75,8.65,6.50,"578,449.15",76.78,"5,579.42","-367,060.23","624,059.94","1,274.04","2,392.47","1,118.43","1,559.64","2,833.69","41,957.82","60,920.80","-18,962.98",82.22
Dec-2022,"6,858,114.71",175.7,145.90,150.50,"1,167.00","1,179.00","359,673.30",175.90,3.35,6.50,8.10,6.25,"562,851.39",79.17,"11,068.89","-372,941.98","611,736.98","1,870.30","3,575.14","1,704.84",-688.02,"1,182.27","38,084.56","61,218.76","-23,134.20",82.79
Sep-2022,"6,468,804.34",175.3,133.80,151.90,"1,149.00","1,161.00","400,866.35",177.80,3.35,6.15,7.75,5.90,"532,663.72",85.4,"-30,378.84","-386,323.86","605,641.16","1,567.37","2,565.66",998.29,"-1,175.04",392.33,"35,390.80","63,372.11","-27,981.31",81.55
Jun-2022,"6,499,562.02",172.6,138.30,155.40,"1,125.00","1,137.00","372,542.35",174.90,3.35,5.15,7.25,4.90,"593,322.58",96.75,"4,595.40","-355,616.53","612,966.06","2,755.21","3,869.39","1,114.18","-6,062.49","-3,307.28","42,279.52","64,352.76","-22,073.24",78.94
Mar-2022,"6,523,590.76",167.7,148.80,148.90,"1,098.00","1,109.00","352,292.55",168.40,3.35,4.25,7.25,4.00,"617,647.83",102.94,"-16,023.61","-358,079.88","619,075.53","3,051.98","5,145.27","2,093.29","-4,992.89","-1,940.90","44,573.71","63,090.56","-18,516.85",75.81
Dec-2021,"6,268,323.17",166.2,138.80,143.30,"1,097.00","1,106.00","350,068.65",168.20,3.35,4.25,7.25,4.00,"633,614.31",86.49,465.39,"-352,520.18","613,149.37","1,350.52","2,851.02","1,500.51","-3,735.72","-2,385.21","39,270.20","60,329.77","-21,059.57",74.30
Sep-2021,"5,627,314.53",163.2,129.50,137.40,"1,067.00","1,076.00","370,982.10",164.00,3.35,4.25,7.30,4.00,"638,645.93",81.78,"31,188.78","-334,578.38","602,974.47","2,030.58","4,276.38","2,245.79","2,588.85","4,619.43","33,814.61","56,286.42","-22,471.81",74.26
Jun-2021,"5,178,170.07",161.3,122.80,133.70,"1,057.00","1,065.00","376,117.85",162.60,3.35,4.25,7.40,4.00,"608,999.19",73.95,"31,870.19","-330,354.30","575,261.36",354.15,"2,555.24","2,201.09","1,251.70","1,605.85","32,493.00","42,098.26","-9,605.27",74.35
Mar-2021,"5,757,700.77",156.8,145.60,129.90,"1,035.00","1,043.00","364,374.30",156.70,3.35,4.25,7.40,4.00,"579,284.59",63.58,"3,389.08","-354,941.36","573,663.12",755.27,"2,066.52","1,311.25",-791.60,-36.33,"35,256.60","48,898.86","-13,642.26",73.50
Dec-2020,"5,474,171.37",157.3,137.40,125.40,"1,047.00","1,053.00","365,185.05",161.00,3.35,4.25,7.30,4.00,"580,840.83",52.2,"32,482.71","-345,222.59","563,756.29","6,239.35","7,130.10",890.75,"8,551.18","14,790.53","27,216.29","42,934.54","-15,718.25",73.05
